branch,receipt_id,line_no,sale_dt,product_id,size,qty,unit_price,member_id,payment
cmu,2026010100001,1,2026-01-01 07:14:00,P13,,1.0,50.0,,qr
cmu,2026010100001,2,2026-01-01 07:14:00,P07,M,1.0,55.0,,qr
cmu,2026010100002,1,2026-01-01 07:59:00,P06,L,1.0,85.0,,cash
cmu,2026010100002,2,2026-01-01 07:59:00,P02,L,1.0,65.0,,cash
cmu,2026010100003,1,2026-01-01 08:45:00,P03,S,3.0,55.0,M0646,qr
cmu,2026010100003,2,2026-01-01 08:45:00,P14,,1.0,85.0,M0646,qr
cmu,2026010100004,1,2026-01-01 09:20:00,P05,M,1.0,70.0,,card
cmu,2026010100005,1,2026-01-01 09:23:00,P03,M,1.0,65.0,,qr
cmu,2026010100006,1,2026-01-01 10:02:00,P02,M,1.0,55.0,M0717,qr
cmu,2026010100007,1,2026-01-01 10:56:00,P07,L,1.0,65.0,,qr
cmu,2026010100007,2,2026-01-01 10:56:00,P13,,1.0,50.0,,qr
cmu,2026010100008,1,2026-01-01 11:14:00,P01,M,3.0,55.0,M0087,qr
cmu,2026010100008,2,2026-01-01 11:14:00,P15,,1.0,75.0,M0087,qr
cmu,2026010100009,1,2026-01-01 11:26:00,P03,M,3.0,65.0,,cash
cmu,2026010100010,1,2026-01-01 12:05:00,P11,M,3.0,60.0,M0570,qr
cmu,2026010100011,1,2026-01-01 13:11:00,P06,M,1.0,75.0,M0466,qr
cmu,2026010100012,1,2026-01-01 13:33:00,P06,M,1.0,75.0,M0241,qr
cmu,2026010100013,1,2026-01-01 14:34:00,P15,,2.0,75.0,M0070,qr
cmu,2026010100014,1,2026-01-01 15:05:00,P01,S,1.0,45.0,M0563,qr
cmu,2026010100015,1,2026-01-01 16:31:00,P11,S,2.0,50.0,,qr
cmu,2026010100015,2,2026-01-01 16:31:00,P12,,1.0,55.0,,qr
cmu,2026010100015,3,2026-01-01 16:31:00,P07,L,1.0,65.0,,qr
cmu,2026010100016,1,2026-01-01 18:12:00,P09,M,1.0,50.0,M0528,qr
cmu,2026010100017,1,2026-01-01 18:46:00,P11,M,1.0,60.0,,qr
cmu,2026010100018,1,2026-01-01 18:47:00,P04,M,1.0,65.0,,qr
cmu,2026010100018,2,2026-01-01 18:47:00,P12,,1.0,55.0,,qr
cmu,2026010200001,1,2026-01-02 07:11:00,P09,M,1.0,50.0,,qr
cmu,2026010200002,1,2026-01-02 07:26:00,P15,,1.0,75.0,M0675,qr
