date,name_th,name_en
2026-01-01,วันขึ้นปีใหม่,New Year's Day
2026-03-03,วันมาฆบูชา,Makha Bucha Day
2026-04-06,วันจักรี,Chakri Memorial Day
2026-04-13,วันสงกรานต์,Songkran Festival
2026-04-14,วันสงกรานต์,Songkran Festival
2026-04-15,วันสงกรานต์,Songkran Festival
2026-05-01,วันแรงงานแห่งชาติ,National Labour Day
2026-05-04,วันฉัตรมงคล,Coronation Day
2026-05-31,วันวิสาขบูชา,Visakha Bucha Day
2026-06-01,ชดเชยวันวิสาขบูชา,Substitution for Visakha Bucha Day
2026-06-03,วันเฉลิมพระชนมพรรษาพระราชินี,Queen Suthida's Birthday
