receipt_no,sale_datetime,item_code,size,qty,unit_price,member_id,payment
NM-000001,01/01/2569 07:06,T01,M,1,55,,QR
NM-000001,01/01/2569 07:06,B02,,1,50,,QR
NM-000002,01/01/2569 07:10,B01,,2,55,,CARD
NM-000003,01/01/2569 07:11,C01,M,-1,55,,QR
NM-000004,01/01/2569 08:03,C06,S,1,65,,CARD
NM-000005,01/01/2569 08:06,C03,M,1,65,M0009,QR
NM-000006,01/01/2569 08:17,T03,S,2,40,M0205,QR
NM-000007,01/01/2569 08:26,C01,L,2,65,M0319,QR
NM-000007,01/01/2569 08:26,B04,,1,75,M0319,QR
NM-000007,01/01/2569 08:26,C02,L,1,65,M0319,QR
NM-000008,01/01/2569 08:29,C05,L,2,80,,QR
NM-000009,01/01/2569 08:33,B03,,1,85,,CARD
NM-000010,01/01/2569 09:04,C04,M,1,65,,CARD
NM-000011,01/01/2569 09:28,C02,M,2,55,M0052,QR
NM-000011,01/01/2569 09:28,B01,,1,55,M0052,QR
NM-000012,01/01/2569 09:28,C04,M,3,65,,QR
NM-000012,01/01/2569 09:28,C01,L,1,65,,QR
NM-000013,01/01/2569 09:37,C02,M,1,55,,QR
NM-000013,01/01/2569 09:37,B01,,1,55,,QR
NM-000014,01/01/2569 09:38,B01,,1,55,M0731,QR
NM-000015,01/01/2569 09:38,B02,,1,50,,QR
NM-000016,01/01/2569 09:44,C02,L,1,65,M0765,CARD
NM-000016,01/01/2569 09:44,T03,M,1,50,M0765,CARD
NM-000017,01/01/2569 09:55,C05,S,3,60,M0623,QR
NM-000017,01/01/2569 09:55,T03,M,1,50,M0623,QR
NM-000018,01/01/2569 10:55,C01,M,1,55,M0692,QR
NM-000018,01/01/2569 10:55,B04,,1,75,M0692,QR
NM-000019,01/01/2569 10:59,C03,M,1,65,M0171,QR
NM-000019,01/01/2569 10:59,B03,,1,85,M0171,QR
NM-000019,01/01/2569 10:59,B03,,1,85,M0171,QR
NM-000020,01/01/2569 11:16,T01,M,1,55,M0317,QR
NM-000021,01/01/2569 11:26,C02,S,1,45,M0206,QR
NM-000022,01/01/2569 12:06,T04,M,2,60,,QR
NM-000022,01/01/2569 12:06,B01,,1,55,,QR
NM-000022,01/01/2569 12:06,T03,M,1,50,,QR
NM-000023,01/01/2569 13:20,B02,,1,50,M0491,CARD
NM-000024,01/01/2569 13:40,T02,M,1,70,,QR
NM-000025,01/01/2569 13:56,C01,M,2,,,QR
NM-000025,01/01/2569 13:56,B01,,1,55,,QR
NM-000026,01/01/2569 14:30,C04,L,1,75,M0776,CARD
NM-000027,01/01/2569 14:50,C02,M,1,55,,CASH
NM-000027,01/01/2569 14:50,B04,,1,75,,CASH
NM-000027,01/01/2569 14:50,B04,,1,75,,CASH
NM-000028,01/01/2569 15:59,C03,M,3,65,,QR
NM-000028,01/01/2569 15:59,T04,M,1,60,,QR
NM-000029,01/01/2569 16:03,C02,M,1,55,,QR
NM-000029,01/01/2569 16:03,B01,,1,55,,QR
NM-000030,01/01/2569 16:13,B01,,1,55,,CARD
NM-000031,01/01/2569 16:58,T04,S,1,50,M0205,QR
NM-000031,01/01/2569 16:58,T01,M,1,55,M0205,QR
NM-000032,01/01/2569 17:19,C02,M,1,55,M0777,CARD
NM-000032,01/01/2569 17:19,B04,,1,75,M0777,CARD
NM-000033,01/01/2569 17:35,T05,S,1,50,M9847,QR
NM-000034,01/01/2569 17:46,B01,,2,55,,QR
NM-000035,01/01/2569 17:49,T03,M,1,50,,QR
NM-000036,01/01/2569 18:13,T04,M,1,60,M681,QR
NM-000037,01/01/2569 19:22,T02,L,1,80,,QR
NM-000038,01/01/2569 19:36,T03,L,3,60,,QR
NM-000038,01/01/2569 19:36,T05,L,1,70,,QR
NM-000039,01/01/2569 19:46,C06,M,1,75,,CARD
NM-000040,02/01/2569 07:02,C02,L,1,65,,CARD
NM-000040,02/01/2569 07:02,B01,,1,55,,CARD
NM-000041,02/01/2569 07:09,C03,M,1,65,,CASH
NM-000041,02/01/2569 07:09,C02,S,1,45,,CASH
NM-000042,02/01/2569 07:55,C03,M,1,65,,CASH
NM-000042,02/01/2569 07:55,B03,,1,85,,CASH
NM-000043,02/01/2569 08:08,C03,M,1,65,M0623,CARD
NM-000044,02/01/2569 08:19,C02,S,1,45,M0275,CASH
NM-000045,02/01/2569 08:21,C05,M,2,70,,QR
NM-000046,02/01/2569 08:48,T02,M,1,70,M0214,CARD
NM-000047,02/01/2569 09:09,T02,M,1,70,,CASH
NM-000047,02/01/2569 09:09,T02,M,1,70,,CASH
NM-000047,02/01/2569 09:09,B01,,1,55,,CASH
NM-000048,02/01/2569 10:07,C02,S,2,45,M0060,QR
NM-000049,02/01/2569 10:12,C04,S,1,55,,CARD
NM-000050,02/01/2569 10:32,C02,M,1,55,,CASH
NM-000050,02/01/2569 10:32,B01,,1,55,,CASH
NM-000051,02/01/2569 12:35,T04,M,1,60,,CASH
NM-000052,02/01/2569 13:23,C03,S,1,55,,CARD
NM-000052,02/01/2569 13:23,B03,,1,85,,CARD
NM-000053,02/01/2569 13:28,T01,M,1,55,M0366,CARD
NM-000053,02/01/2569 13:28,B02,,1,50,M0366,CARD
NM-000053,02/01/2569 13:28,C05,M,1,70,M0366,CARD
NM-000054,02/01/2569 14:22,C04,M,1,65,,QR
NM-000055,02/01/2569 14:29,T01,M,1,55,M0602,QR
NM-000056,02/01/2569 14:38,C01,M,2,55,,QR
NM-000056,02/01/2569 14:38,B04,,1,75,,QR
NM-000057,02/01/2569 14:46,C03,S,1,55,M0398,CASH
NM-000057,02/01/2569 14:46,T03,L,1,60,M0398,CASH
NM-000058,02/01/2569 14:55,T03,M,2,50,M0268,QR
NM-000058,02/01/2569 14:55,B01,,1,55,M0268,QR
NM-000059,02/01/2569 15:08,T03,M,2,50,M0190,QR
NM-000060,02/01/2569 15:13,T03,S,1,40,M0504,QR
NM-000061,02/01/2569 15:27,T04,S,1,50,M0326,QR
NM-000062,02/01/2569 15:43,C03,M,1,65,,CASH
NM-000063,02/01/2569 16:17,T04,M,2,60,M0375,CASH
NM-000064,02/01/2569 17:59,B03,,3,85,M0659,QR
